date,source,creative_id,spend_usd,impressions,clicks,ctr,landing_view,landing_play_click,checkout_start,payment_credited,lp_click_rate,checkout_rate,payment_per_landing,payment_per_checkout,cpc_usd,cpa_checkout_usd,cac_payment_usd,decision,next_action
2026-03-06,tiktok,c1,,,,,,,,,,,,,,,,,
2026-03-06,tiktok,c2,,,,,,,,,,,,,,,,,
2026-03-06,tiktok,c3,,,,,,,,,,,,,,,,,
2026-03-06,tiktok,c4,,,,,,,,,,,,,,,,,
2026-03-06,tiktok,c5,,,,,,,,,,,,,,,,,
2026-03-06,tiktok,c6,,,,,,,,,,,,,,,,,
2026-03-06,meta,c1,,,,,,,,,,,,,,,,,
2026-03-06,meta,c2,,,,,,,,,,,,,,,,,
2026-03-06,meta,c3,,,,,,,,,,,,,,,,,
2026-03-06,meta,c4,,,,,,,,,,,,,,,,,
2026-03-06,meta,c5,,,,,,,,,,,,,,,,,
2026-03-06,meta,c6,,,,,,,,,,,,,,,,,
